كد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,كد ارائه كلاس درس,نام كلاس درس,زمانبندي تشكيل كلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاكنون,زمان امتحان,مكان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ كلاس,گروه آموزشي,دانشكده,واحد,استان,Column1
7000031562,طراحي زبان هاي برنامه سازي,نظري,3,0,1635155056,,,امين طوسي,,0,,1405/10/22 از 08:00 تا 10:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشي,-,گروه آموزشي كامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
7000031562,طراحي زبان هاي برنامه سازي,نظري,3,0,1635155055,,,امين طوسي,,0,,1405/10/22 از 08:00 تا 10:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشي,-,گروه آموزشي كامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
90029,فارسي,نظري,3,0,1.631E+19,,يكشنبه  از 13:15 تا 15:45 ,شهرناز نجاتي,,55,,1405/10/24 از 08:00 تا 09:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
90029,فارسي,نظري,3,0,1.631E+19,,يكشنبه  از 10:15 تا 11:45 يكشنبه  از  از 12:15 تا 13:15 ,شهرناز نجاتي,,55,,1405/10/17 از 08:00 تا 09:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
7000031562,طراحي زبان هاي برنامه سازي,نظري,3,0,1635155054,,,امين طوسي,,0,,1405/10/22 از 08:00 تا 10:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشي,-,گروه آموزشي كامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
90029,فارسي,نظري,3,0,1.631E+19,,يكشنبه  از 07:30 تا 10:15 ,شهرناز نجاتي,,55,,1405/10/17 از 08:00 تا 09:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
7000031562,طراحي زبان هاي برنامه سازي,نظري,3,0,1635155053,,,امين طوسي,,0,,1405/10/22 از 08:00 تا 10:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشي,-,گروه آموزشي كامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
55006,زبان فارسي (پيش نياز دانشگاهي),نظري,2,0,1.631E+19,,چهارشنبه  از 13:15 تا 15:00 ,پيوند بالاني,,55,,1405/10/16 از 08:00 تا 09:30 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
90029,فارسي,نظري,3,0,1.631E+19,,چهارشنبه  از 10:15 تا 11:45 چهارشنبه  از  از 12:15 تا 13:15 ,پيوند بالاني,,55,,1405/10/17 از 08:00 تا 09:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
90029,فارسي,نظري,3,0,1.631E+19,,چهارشنبه  از 07:30 تا 10:15 ,پيوند بالاني,,55,,1405/10/17 از 08:00 تا 09:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
