کد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,کد ارائه کلاس درس,نام كلاس درس,زمانبندي تشکيل کلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاکنون,زمان امتحان,مکان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ کلاس,گروه آموزشی,دانشکده,واحد,استان
99062​,ورزش 1,عملي,0,1,46,برادران -,پنج شنبه از 07:30 تا 09:15,صمصام شامحمدی,,20,,1405/10/05 از 08:00 تا 10:00,163 - شيراز- ورزشی توانا سالن الف,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99062​,ورزش 1,عملي,0,1,45,برادران -,چهارشنبه از 16:45 تا 18:30,فیروز حسینی پور,,20,,1405/10/05 از 08:00 تا 10:00,163 - شيراز-ورزشی پیروانی سالن الف,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99062​,ورزش 1,عملي,0,1,44,برادران -,چهارشنبه از 15:00 تا 16:45,فیروز حسینی پور,,20,,1405/10/05 از 08:00 تا 10:00,163 - شيراز-ورزشی پیروانی سالن الف,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99062​,ورزش 1,عملي,0,1,43,برادران -,چهارشنبه از 13:15 تا 15:00,فیروز حسینی پور,,20,,1405/10/05 از 08:00 تا 10:00,163 - شيراز-ورزشی پیروانی سالن الف,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99062​,ورزش 1,عملي,0,1,42,برادران -,چهارشنبه از 16:45 تا 18:30,عباس غلامپور,,20,,1405/10/05 از 08:00 تا 10:00,163 - شيراز- ورزشی توانا سالن الف,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99062​,ورزش 1,عملي,0,1,41,برادران -,چهارشنبه از 15:00 تا 16:45,عباس غلامپور,,20,,1405/10/05 از 08:00 تا 10:00,163 - شيراز- ورزشی توانا سالن الف,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99062​,ورزش 1,عملي,0,1,40,برادران -,چهارشنبه از 13:15 تا 15:00,عباس غلامپور,,20,,1405/10/05 از 08:00 تا 10:00,163 - شيراز- ورزشی توانا سالن الف,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99062​,ورزش 1,عملي,0,1,39,خواهران,چهارشنبه از 11:00 تا 12:45,سمیه رحیمی,,20,,1405/10/05 از 08:00 تا 10:00,163 - شيراز- ورزشی توانا سالن ب,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99062​,ورزش 1,عملي,0,1,38,خواهران,چهارشنبه از 09:15 تا 11:00,سمیه رحیمی,,20,,1405/10/05 از 08:00 تا 10:00,163 - شيراز- ورزشی توانا سالن ب,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99062​,ورزش 1,عملي,0,1,37,خواهران,چهارشنبه از 07:30 تا 09:15,سمیه رحیمی,,20,,1405/10/05 از 08:00 تا 10:00,163 - شيراز- ورزشی توانا سالن الف,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90128​,دانش خانواده و جمعیت,نظري,2,0,1639012810​,خواهران,سه شنبه از 16:45 تا 18:30,فرزانه مسعودی,,45,,1405/10/24 از 16:30 تا 18:00,علوم انسانی-5,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90128​,دانش خانواده و جمعیت,نظري,2,0,1639012809​,خواهران,سه شنبه از 15:00 تا 16:45,فرزانه مسعودی,,45,,1405/10/24 از 16:30 تا 18:00,علوم انسانی-5,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90755​,انقلاب اسلامی ایران,نظري,2,0,1639075531​,برادران,يكشنبه از 16:45 تا 18:30,مهدی خدارحیمی بوگر,,45,,1405/10/13 از 16:30 تا 18:00,علوم انسانی-5,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90755​,انقلاب اسلامی ایران,نظري,2,0,1639075530​,خواهران,يكشنبه از 15:00 تا 16:45,مهدی خدارحیمی بوگر,,45,,1405/10/13 از 16:30 تا 18:00,علوم انسانی-5,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90128​,دانش خانواده و جمعیت,نظري,2,0,1639012807​,خواهران,سه شنبه از 13:15 تا 15:00,سیده فاطمه موسوی,,45,,1405/10/24 از 16:30 تا 18:00,علوم انسانی-5,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90128​,دانش خانواده و جمعیت,نظري,2,0,1639012808​,خواهران,سه شنبه از 11:00 تا 11:45 سه شنبه از ...,سیده فاطمه موسوی,,45,,1405/10/24 از 16:30 تا 18:00,علوم انسانی-5,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90755​,انقلاب اسلامی ایران,نظري,2,0,1639075529​,برادران,دوشنبه از 16:45 تا 18:30,مجتبی اشرافی,,45,,1405/10/13 از 16:30 تا 18:00,علوم انسانی-5,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90763​,تفسیر موضوعی قرآن,نظري,2,0,1639076305​,خواهران,سه شنبه از 09:15 تا 11:00,سیده فاطمه موسوی,,45,,1405/10/15 از 16:30 تا 18:00,علوم انسانی-5,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90755​,انقلاب اسلامی ایران,نظري,2,0,1639075528​,برادران,دوشنبه از 15:00 تا 16:45,مجتبی اشرافی,,45,,1405/10/13 از 16:30 تا 18:00,علوم انسانی-5,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90755​,انقلاب اسلامی ایران,نظري,2,0,1639075527​,خواهران,سه شنبه از 15:00 تا 16:45,احمدرضا حبیبی اردکانی,,45,,1405/10/13 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90755​,انقلاب اسلامی ایران,نظري,2,0,1639075526​,خواهران,سه شنبه از 13:15 تا 15:00,احمدرضا حبیبی اردکانی,,45,,1405/10/13 از 16:30 تا 18:00,مهندسی یک-217,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90763​,تفسیر موضوعی قرآن,نظري,2,0,1639076304​,خواهران,سه شنبه از 07:30 تا 09:15,سیده فاطمه موسوی,,45,,1405/10/15 از 16:30 تا 18:00,علوم انسانی-5,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90755​,انقلاب اسلامی ایران,نظري,2,0,1639075525​,برادران,شنبه از 16:45 تا 18:30,مهدی خدارحیمی بوگر,,45,,1405/10/13 از 16:30 تا 18:00,علوم انسانی-5,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
98841​,اندیشه اسلامی 2‌ (نبوت و امامت),نظري,2,0,1639884109​,خواهران,دوشنبه از 09:15 تا 11:00,دکتر مرتضی کشاورز,,45,,1405/10/17 از 16:30 تا 18:00,علوم انسانی-5,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90755​,انقلاب اسلامی ایران,نظري,2,0,1639075524​,خواهران,شنبه از 15:00 تا 16:45,مهدی خدارحیمی بوگر,,45,,1405/10/13 از 16:30 تا 18:00,علوم انسانی-5,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
98841​,اندیشه اسلامی 2‌ (نبوت و امامت),نظري,2,0,1639884106​,برادران,دوشنبه از 07:30 تا 09:15,دکتر مرتضی کشاورز,,45,,1405/10/17 از 16:30 تا 18:00,علوم انسانی-5,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99062​,ورزش 1,عملي,0,1,36,برادران -,سه شنبه از 16:45 تا 18:30,پوريا رعيتان زوج,,20,,1405/10/05 از 08:00 تا 10:00,163 - شيراز-ورزشی پیروانی سالن الف,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99062​,ورزش 1,عملي,0,1,35,برادران -,سه شنبه از 15:00 تا 16:45,پوريا رعيتان زوج,,20,,1405/10/05 از 08:00 تا 10:00,163 - شيراز-ورزشی پیروانی سالن الف,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
99062​,ورزش 1,عملي,0,1,34,برادران -,سه شنبه از 13:15 تا 15:00,پوريا رعيتان زوج,,20,,1405/10/05 از 08:00 تا 10:00,163 - شيراز-ورزشی پیروانی سالن الف,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
92381​,تاریخ فرهنگ و تمدن اسلام و ایران,نظري,2,0,1639238108​,خواهران,يكشنبه از 13:15 تا 15:00,خسرو مرادی کهواده,,45,,1405/10/24 از 16:30 تا 18:00,اقتصاد ومدیریت-005,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
90610​,اندیشه اسلامی 1 (مبدا ومعاد),نظري,2,0,1639061017​,خواهران,يكشنبه از 13:15 تا 15:00,دکتر مرتضی کشاورز,,45,,1405/10/22 از 16:30 تا 18:00,علوم انسانی-5,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
